name	pop	cohort	sex	sample	group	famid
HG01863	EAS	IB_ONT	F	HG01863	control	HG01863
HG01865	EAS	IB_ONT	M	HG01865	control	HG01865
HG01866	EAS	IB_ONT	M	HG01866	control	HG01866
HG01915	AFR	IB_ONT	F	HG01915	control	HG01915
HG01917	AMR	IB_ONT	M	HG01917	control	HG01917
HG01918	AMR	IB_ONT	F	HG01918	control	HG01918
HG01939	AMR	IB_ONT	F	HG01939	control	HG01939
HG01945	AMR	IB_ONT	F	HG01945	control	HG01945
HG01947	AMR	IB_ONT	M	HG01947	control	HG01947
HG01950	AMR	IB_ONT	M	HG01950	control	HG01950
HG01951	AMR	IB_ONT	F	HG01951	control	HG01951
HG01953	AMR	IB_ONT	M	HG01953	control	HG01953
HG01967	AMR	IB_ONT	M	HG01967	control	HG01967
HG01971	AMR	IB_ONT	F	HG01971	control	HG01971
HG01982	AMR	IB_ONT	M	HG01982	control	HG01982
HG01983	AMR	IB_ONT	F	HG01983	control	HG01983
HG01988	AFR	IB_ONT	M	HG01988	control	HG01988
HG01990	AFR	IB_ONT	M	HG01990	control	HG01990
HG01991	AMR	IB_ONT	M	HG01991	control	HG01991
HG01992	AMR	IB_ONT	F	HG01992	control	HG01992
HG02009	AFR	IB_ONT	M	HG02009	control	HG02009
HG02010	AFR	IB_ONT	F	HG02010	control	HG02010
HG02014	AFR	IB_ONT	M	HG02014	control	HG02014
HG02064	EAS	IB_ONT	M	HG02064	control	HG02064
HG02079	EAS	IB_ONT	M	HG02079	control	HG02079
HG02081	EAS	IB_ONT	F	HG02081	control	HG02081
HG02087	EAS	IB_ONT	F	HG02087	control	HG02087
HG02095	AFR	IB_ONT	F	HG02095	control	HG02095
HG02105	AMR	IB_ONT	F	HG02105	control	HG02105
HG02107	AFR	IB_ONT	M	HG02107	control	HG02107
HG02111	AFR	IB_ONT	F	HG02111	control	HG02111
HG02128	EAS	IB_ONT	M	HG02128	control	HG02128
HG02133	EAS	IB_ONT	F	HG02133	control	HG02133
HG02137	EAS	IB_ONT	M	HG02137	control	HG02137
HG02138	EAS	IB_ONT	M	HG02138	control	HG02138
HG02152	EAS	IB_ONT	F	HG02152	control	HG02152
HG02154	EAS	IB_ONT	F	HG02154	control	HG02154
HG02156	EAS	IB_ONT	F	HG02156	control	HG02156
HG02164	EAS	IB_ONT	F	HG02164	control	HG02164
HG02180	EAS	IB_ONT	F	HG02180	control	HG02180
HG02184	EAS	IB_ONT	F	HG02184	control	HG02184
HG02223	EUR	IB_ONT	F	HG02223	control	HG02223
HG02231	EUR	IB_ONT	M	HG02231	control	HG02231
HG02238	EUR	IB_ONT	M	HG02238	control	HG02238
HG02239	EUR	IB_ONT	F	HG02239	control	HG02239
HG02250	EAS	IB_ONT	M	HG02250	control	HG02250
HG02265	AMR	IB_ONT	M	HG02265	control	HG02265
HG02271	AMR	IB_ONT	M	HG02271	control	HG02271
HG02274	AMR	IB_ONT	M	HG02274	control	HG02274
HG02283	AFR	IB_ONT	M	HG02283	control	HG02283
HG02292	AMR	IB_ONT	F	HG02292	control	HG02292
HG02308	AFR	IB_ONT	F	HG02308	control	HG02308
HG02309	AFR	IB_ONT	F	HG02309	control	HG02309
HG02314	AFR	IB_ONT	M	HG02314	control	HG02314
HG02318	AFR	IB_ONT	F	HG02318	control	HG02318
HG02332	AFR	IB_ONT	M	HG02332	control	HG02332
HG02337	AFR	IB_ONT	F	HG02337	control	HG02337
HG02364	EAS	IB_ONT	M	HG02364	control	HG02364
HG02367	EAS	IB_ONT	M	HG02367	control	HG02367
HG02372	EAS	IB_ONT	M	HG02372	control	HG02372
HG02382	EAS	IB_ONT	M	HG02382	control	HG02382
HG02384	EAS	IB_ONT	M	HG02384	control	HG02384
HG02390	EAS	IB_ONT	M	HG02390	control	HG02390
HG02402	EAS	IB_ONT	M	HG02402	control	HG02402
HG02410	EAS	IB_ONT	M	HG02410	control	HG02410
HG02420	AFR	IB_ONT	M	HG02420	control	HG02420
HG02442	AFR	IB_ONT	M	HG02442	control	HG02442
HG02445	AFR	IB_ONT	M	HG02445	control	HG02445
HG02477	AFR	IB_ONT	F	HG02477	control	HG02477
HG02478	AFR	IB_ONT	M	HG02478	control	HG02478
HG02490	SAS	IB_ONT	M	HG02490	control	HG02490
HG02496	AFR	IB_ONT	M	HG02496	control	HG02496
HG02521	EAS	IB_ONT	M	HG02521	control	HG02521
HG02522	EAS	IB_ONT	F	HG02522	control	HG02522
HG02545	AFR	IB_ONT	M	HG02545	control	HG02545
HG02561	AFR	IB_ONT	M	HG02561	control	HG02561
HG02562	AFR	IB_ONT	F	HG02562	control	HG02562
HG02568	AFR	IB_ONT	F	HG02568	control	HG02568
HG02573	AFR	IB_ONT	M	HG02573	control	HG02573
HG02580	AFR	IB_ONT	F	HG02580	control	HG02580
HG02585	AFR	IB_ONT	M	HG02585	control	HG02585
HG02595	AFR	IB_ONT	F	HG02595	control	HG02595
HG02604	SAS	IB_ONT	F	HG02604	control	HG02604
HG02611	AFR	IB_ONT	F	HG02611	control	HG02611
HG02634	AFR	IB_ONT	M	HG02634	control	HG02634
HG02635	AFR	IB_ONT	F	HG02635	control	HG02635
HG02643	AFR	IB_ONT	F	HG02643	control	HG02643
HG02678	AFR	IB_ONT	M	HG02678	control	HG02678
HG02679	AFR	IB_ONT	F	HG02679	control	HG02679
HG02684	SAS	IB_ONT	M	HG02684	control	HG02684
HG02703	AFR	IB_ONT	F	HG02703	control	HG02703
HG02715	AFR	IB_ONT	M	HG02715	control	HG02715
HG02724	SAS	IB_ONT	M	HG02724	control	HG02724
HG02727	SAS	IB_ONT	M	HG02727	control	HG02727
HG02728	SAS	IB_ONT	F	HG02728	control	HG02728
HG02737	SAS	IB_ONT	F	HG02737	control	HG02737
HG02781	SAS	IB_ONT	F	HG02781	control	HG02781
HG02793	SAS	IB_ONT	F	HG02793	control	HG02793
HG02805	AFR	IB_ONT	F	HG02805	control	HG02805
HG02836	AFR	IB_ONT	M	HG02836	control	HG02836
HG02895	AFR	IB_ONT	M	HG02895	control	HG02895
HG02938	AFR	IB_ONT	M	HG02938	control	HG02938
HG02944	AFR	IB_ONT	M	HG02944	control	HG02944
HG02971	AFR	IB_ONT	M	HG02971	control	HG02971
HG02983	AFR	IB_ONT	F	HG02983	control	HG02983
HG03016	SAS	IB_ONT	F	HG03016	control	HG03016
HG03019	SAS	IB_ONT	F	HG03019	control	HG03019
HG03028	AFR	IB_ONT	F	HG03028	control	HG03028
HG03048	AFR	IB_ONT	M	HG03048	control	HG03048
HG03052	AFR	IB_ONT	F	HG03052	control	HG03052
HG03073	AFR	IB_ONT	F	HG03073	control	HG03073
HG03076	AFR	IB_ONT	F	HG03076	control	HG03076
HG03085	AFR	IB_ONT	F	HG03085	control	HG03085
HG03097	AFR	IB_ONT	F	HG03097	control	HG03097
HG03103	AFR	IB_ONT	M	HG03103	control	HG03103
HG03108	AFR	IB_ONT	F	HG03108	control	HG03108
HG03109	AFR	IB_ONT	M	HG03109	control	HG03109
HG03111	AFR	IB_ONT	F	HG03111	control	HG03111
HG03112	AFR	IB_ONT	M	HG03112	control	HG03112
HG03114	AFR	IB_ONT	F	HG03114	control	HG03114
HG03124	AFR	IB_ONT	M	HG03124	control	HG03124
HG03132	AFR	IB_ONT	F	HG03132	control	HG03132
HG03133	AFR	IB_ONT	M	HG03133	control	HG03133
HG03159	AFR	IB_ONT	F	HG03159	control	HG03159
HG03172	AFR	IB_ONT	M	HG03172	control	HG03172
HG03189	AFR	IB_ONT	F	HG03189	control	HG03189
HG03198	AFR	IB_ONT	F	HG03198	control	HG03198
HG03199	AFR	IB_ONT	M	HG03199	control	HG03199
HG03238	SAS	IB_ONT	F	HG03238	control	HG03238
HG03240	AFR	IB_ONT	M	HG03240	control	HG03240
HG03258	AFR	IB_ONT	M	HG03258	control	HG03258
HG03265	AFR	IB_ONT	M	HG03265	control	HG03265
HG03300	AFR	IB_ONT	F	HG03300	control	HG03300
HG03301	AFR	IB_ONT	M	HG03301	control	HG03301
HG03307	AFR	IB_ONT	M	HG03307	control	HG03307
HG03311	AFR	IB_ONT	M	HG03311	control	HG03311
HG03342	AFR	IB_ONT	F	HG03342	control	HG03342
HG03361	AFR	IB_ONT	M	HG03361	control	HG03361
HG03372	AFR	IB_ONT	F	HG03372	control	HG03372
HG03373	AFR	IB_ONT	M	HG03373	control	HG03373
HG03461	AFR	IB_ONT	F	HG03461	control	HG03461
HG03476	AFR	IB_ONT	F	HG03476	control	HG03476
HG03493	AFR	IB_ONT	F	HG03493	control	HG03493
HG03511	AFR	IB_ONT	F	HG03511	control	HG03511
HG03539	AFR	IB_ONT	F	HG03539	control	HG03539
HG03577	AFR	IB_ONT	M	HG03577	control	HG03577
HG03582	AFR	IB_ONT	M	HG03582	control	HG03582
HG03593	SAS	IB_ONT	M	HG03593	control	HG03593
HG03595	SAS	IB_ONT	F	HG03595	control	HG03595
HG03604	SAS	IB_ONT	F	HG03604	control	HG03604
HG03607	SAS	IB_ONT	F	HG03607	control	HG03607
HG03640	SAS	IB_ONT	F	HG03640	control	HG03640
HG03644	SAS	IB_ONT	M	HG03644	control	HG03644
HG03645	SAS	IB_ONT	F	HG03645	control	HG03645
HG03673	SAS	IB_ONT	F	HG03673	control	HG03673
HG03687	SAS	IB_ONT	M	HG03687	control	HG03687
HG03697	SAS	IB_ONT	M	HG03697	control	HG03697
HG03714	SAS	IB_ONT	F	HG03714	control	HG03714
HG03721	SAS	IB_ONT	F	HG03721	control	HG03721
HG03729	SAS	IB_ONT	M	HG03729	control	HG03729
HG03781	SAS	IB_ONT	F	HG03781	control	HG03781
HG03786	SAS	IB_ONT	M	HG03786	control	HG03786
HG03792	SAS	IB_ONT	M	HG03792	control	HG03792
HG03794	SAS	IB_ONT	M	HG03794	control	HG03794
HG03797	SAS	IB_ONT	M	HG03797	control	HG03797
HG03800	SAS	IB_ONT	M	HG03800	control	HG03800
HG03802	SAS	IB_ONT	F	HG03802	control	HG03802
HG03809	SAS	IB_ONT	M	HG03809	control	HG03809
HG03812	SAS	IB_ONT	M	HG03812	control	HG03812
HG03821	SAS	IB_ONT	M	HG03821	control	HG03821
HG03862	SAS	IB_ONT	F	HG03862	control	HG03862
HG03869	SAS	IB_ONT	M	HG03869	control	HG03869
HG03904	SAS	IB_ONT	F	HG03904	control	HG03904
HG03916	SAS	IB_ONT	F	HG03916	control	HG03916
HG03925	SAS	IB_ONT	F	HG03925	control	HG03925
HG03931	SAS	IB_ONT	F	HG03931	control	HG03931
HG04039	SAS	IB_ONT	M	HG04039	control	HG04039
HG04062	SAS	IB_ONT	F	HG04062	control	HG04062
HG04128	SAS	IB_ONT	M	HG04128	control	HG04128
HG04132	SAS	IB_ONT	F	HG04132	control	HG04132
HG04140	SAS	IB_ONT	M	HG04140	control	HG04140
HG04147	SAS	IB_ONT	F	HG04147	control	HG04147
HG04149	SAS	IB_ONT	M	HG04149	control	HG04149
NA10842	EUR	IB_ONT	M	NA10842	control	NA10842
NA10843	EUR	IB_ONT	F	NA10843	control	NA10843
NA10850	EUR	IB_ONT	F	NA10850	control	NA10850
NA10851	EUR	IB_ONT	M	NA10851	control	NA10851
NA10856	EUR	IB_ONT	M	NA10856	control	NA10856
NA12335	EUR	IB_ONT	M	NA12335	control	NA12335
NA12336	EUR	IB_ONT	F	NA12336	control	NA12336
NA12766	EUR	IB_ONT	M	NA12766	control	NA12766
NA12802	EUR	IB_ONT	F	NA12802	control	NA12802
NA12889	EUR	IB_ONT	M	NA12889	control	NA12889
NA12890	EUR	IB_ONT	F	NA12890	control	NA12890
NA12891	EUR	IB_ONT	M	NA12891	control	NA12891
NA15204	EUR	IB_ONT	F	NA15204	control	NA15204
NA15727	EUR	IB_ONT	M	NA15727	control	NA15727
NA15728	EUR	IB_ONT	M	NA15728	control	NA15728
NA15729	EUR	IB_ONT	F	NA15729	control	NA15729
NA15732	EUR	IB_ONT	F	NA15732	control	NA15732
NA18530	EAS	IB_ONT	M	NA18530	control	NA18530
NA18532	EAS	IB_ONT	F	NA18532	control	NA18532
NA18537	EAS	IB_ONT	F	NA18537	control	NA18537
NA18539	EAS	IB_ONT	F	NA18539	control	NA18539
NA18540	EAS	IB_ONT	F	NA18540	control	NA18540
NA18553	EAS	IB_ONT	F	NA18553	control	NA18553
NA18555	EAS	IB_ONT	F	NA18555	control	NA18555
NA18566	EAS	IB_ONT	F	NA18566	control	NA18566
NA18567	EAS	IB_ONT	F	NA18567	control	NA18567
NA18577	EAS	IB_ONT	F	NA18577	control	NA18577
NA18603	EAS	IB_ONT	M	NA18603	control	NA18603
NA18605	EAS	IB_ONT	M	NA18605	control	NA18605
NA18612	EAS	IB_ONT	M	NA18612	control	NA18612
NA18625	EAS	IB_ONT	F	NA18625	control	NA18625
NA18632	EAS	IB_ONT	M	NA18632	control	NA18632
NA18642	EAS	IB_ONT	F	NA18642	control	NA18642
NA18741	EAS	IB_ONT	F	NA18741	control	NA18741
NA18853	AFR	IB_ONT	M	NA18853	control	NA18853
NA18946	EAS	IB_ONT	F	NA18946	control	NA18946
NA18965	EAS	IB_ONT	M	NA18965	control	NA18965
NA18966	EAS	IB_ONT	M	NA18966	control	NA18966
NA18968	EAS	IB_ONT	F	NA18968	control	NA18968
NA18972	EAS	IB_ONT	F	NA18972	control	NA18972
NA18980	EAS	IB_ONT	F	NA18980	control	NA18980
NA19144	AFR	IB_ONT	M	NA19144	control	NA19144
NA19352	AFR	IB_ONT	M	NA19352	control	NA19352
NA19403	AFR	IB_ONT	F	NA19403	control	NA19403
NA19432	AFR	IB_ONT	F	NA19432	control	NA19432
NA19449	AFR	IB_ONT	F	NA19449	control	NA19449
NA19453	AFR	IB_ONT	M	NA19453	control	NA19453
NA19651	AMR	IB_ONT	F	NA19651	control	NA19651
NA19658	AMR	IB_ONT	M	NA19658	control	NA19658
NA19664	AMR	IB_ONT	M	NA19664	control	NA19664
NA19711	AFR	IB_ONT	M	NA19711	control	NA19711
NA19723	AMR	IB_ONT	M	NA19723	control	NA19723
NA19734	AMR	IB_ONT	F	NA19734	control	NA19734
NA19819	AFR	IB_ONT	F	NA19819	control	NA19819
NA19834	AFR	IB_ONT	M	NA19834	control	NA19834
NA19900	AFR	IB_ONT	M	NA19900	control	NA19900
NA19916	AFR	IB_ONT	M	NA19916	control	NA19916
NA19921	AFR	IB_ONT	F	NA19921	control	NA19921
NA19985	AFR	IB_ONT	F	NA19985	control	NA19985
NA20127	AFR	IB_ONT	F	NA20127	control	NA20127
NA20276	AFR	IB_ONT	F	NA20276	control	NA20276
NA20278	AFR	IB_ONT	M	NA20278	control	NA20278
NA20294	AFR	IB_ONT	F	NA20294	control	NA20294
NA20332	AFR	IB_ONT	F	NA20332	control	NA20332
NA20334	AFR	IB_ONT	F	NA20334	control	NA20334
NA20336	AFR	IB_ONT	F	NA20336	control	NA20336
NA20348	AFR	IB_ONT	M	NA20348	control	NA20348
NA20356	AFR	IB_ONT	M	NA20356	control	NA20356
NA20520	EUR	IB_ONT	M	NA20520	control	NA20520
NA20539	EUR	IB_ONT	M	NA20539	control	NA20539
NA20587	EUR	IB_ONT	F	NA20587	control	NA20587
NA20753	EUR	IB_ONT	F	NA20753	control	NA20753
NA20861	SAS	IB_ONT	M	NA20861	control	NA20861
NA20866	SAS	IB_ONT	M	NA20866	control	NA20866
NA20867	SAS	IB_ONT	M	NA20867	control	NA20867
NA20883	SAS	IB_ONT	M	NA20883	control	NA20883
NA20885	SAS	IB_ONT	M	NA20885	control	NA20885
NA20888	SAS	IB_ONT	F	NA20888	control	NA20888
NA20890	SAS	IB_ONT	M	NA20890	control	NA20890
NA20896	SAS	IB_ONT	F	NA20896	control	NA20896
NA20898	SAS	IB_ONT	M	NA20898	control	NA20898
NA20899	SAS	IB_ONT	F	NA20899	control	NA20899
NA20900	SAS	IB_ONT	F	NA20900	control	NA20900
NA20901	SAS	IB_ONT	M	NA20901	control	NA20901
NA21099	SAS	IB_ONT	M	NA21099	control	NA21099
NA21114	SAS	IB_ONT	M	NA21114	control	NA21114
11071_fa	EUR	ASD	M	11071_fa	father	11071
11071_mo	EUR	ASD	F	11071_mo	mother	11071
11071_p1	EUR	ASD	F	11071_p1	proband	11071
11071_s1	EUR	ASD	F	11071_s1	sibling	11071
11080_fa	EUR	ASD	M	11080_fa	father	11080
11080_mo	EUR	ASD	F	11080_mo	mother	11080
11080_p1	EUR	ASD	F	11080_p1	proband	11080
11129_fa	AMR	ASD	M	11129_fa	father	11129
11129_p1	AMR	ASD	F	11129_p1	proband	11129
11129_mo	EUR	ASD	F	11129_mo	mother	11129
11201_fa	EUR	ASD	M	11201_fa	father	11201
11201_mo	EUR	ASD	F	11201_mo	mother	11201
11201_p1	EUR	ASD	M	11201_p1	proband	11201
11201_s1	EUR	ASD	M	11201_s1	sibling	11201
11266_fa	EUR	ASD	M	11266_fa	father	11266
11266_mo	EUR	ASD	F	11266_mo	mother	11266
11266_p1	EUR	ASD	F	11266_p1	proband	11266
11266_s1	EUR	ASD	F	11266_s1	sibling	11266
11414_fa	EUR	ASD	M	11414_fa	father	11414
11414_mo	EUR	ASD	F	11414_mo	mother	11414
11414_p1	EUR	ASD	F	11414_p1	proband	11414
11414_s1	EUR	ASD	F	11414_s1	sibling	11414
11611_fa	EUR	ASD	M	11611_fa	father	11611
11611_mo	EUR	ASD	F	11611_mo	mother	11611
11611_p1	EUR	ASD	F	11611_p1	proband	11611
11918_fa	AFR	ASD	M	11918_fa	father	11918
11918_mo	AFR	ASD	F	11918_mo	mother	11918
11918_p1	AFR	ASD	F	11918_p1	proband	11918
11918_s1	AFR	ASD	M	11918_s1	sibling	11918
11964_fa	EUR	ASD	M	11964_fa	father	11964
11964_mo	EUR	ASD	F	11964_mo	mother	11964
11964_p1	EUR	ASD	F	11964_p1	proband	11964
11964_s1	EUR	ASD	F	11964_s1	sibling	11964
12220_fa	AFR	ASD	M	12220_fa	father	12220
12220_p1	AMR	ASD	F	12220_p1	proband	12220
12220_s1	AMR	ASD	M	12220_s1	sibling	12220
12220_mo	EUR	ASD	F	12220_mo	mother	12220
12237_fa	EUR	ASD	M	12237_fa	father	12237
12237_mo	EUR	ASD	F	12237_mo	mother	12237
12237_p1	EUR	ASD	F	12237_p1	proband	12237
12237_s1	EUR	ASD	F	12237_s1	sibling	12237
12456_fa	EUR	ASD	M	12456_fa	father	12456
12456_mo	EUR	ASD	F	12456_mo	mother	12456
12456_p1	EUR	ASD	F	12456_p1	proband	12456
12456_s1	EUR	ASD	M	12456_s1	sibling	12456
12651_fa	EUR	ASD	M	12651_fa	father	12651
12651_mo	EUR	ASD	F	12651_mo	mother	12651
12651_p1	EUR	ASD	M	12651_p1	proband	12651
12651_s1	EUR	ASD	M	12651_s1	sibling	12651
12826_fa	EUR	ASD	M	12826_fa	father	12826
12826_mo	EUR	ASD	F	12826_mo	mother	12826
12826_p1	EUR	ASD	F	12826_p1	proband	12826
12826_s1	EUR	ASD	M	12826_s1	sibling	12826
12832_mo	AMR	ASD	F	12832_mo	mother	12832
12832_p1	AMR	ASD	F	12832_p1	proband	12832
12832_s1	AMR	ASD	F	12832_s1	sibling	12832
12832_fa	EUR	ASD	M	12832_fa	father	12832
13048_fa	EUR	ASD	M	13048_fa	father	13048
13048_mo	EUR	ASD	F	13048_mo	mother	13048
13048_p1	EUR	ASD	F	13048_p1	proband	13048
13048_s1	EUR	ASD	F	13048_s1	sibling	13048
13230_fa	EUR	ASD	M	13230_fa	father	13230
13230_mo	EUR	ASD	F	13230_mo	mother	13230
13230_p1	EUR	ASD	F	13230_p1	proband	13230
13230_s2	EUR	ASD	F	13230_s2	sibling	13230
13239_fa	AMR	ASD	M	13239_fa	father	13239
13239_mo	EAS	ASD	F	13239_mo	mother	13239
13239_p1	EAS	ASD	F	13239_p1	proband	13239
13239_s1	EAS	ASD	M	13239_s1	sibling	13239
13385_fa	EUR	ASD	M	13385_fa	father	13385
13385_mo	EUR	ASD	F	13385_mo	mother	13385
13385_p1	EUR	ASD	M	13385_p1	proband	13385
13385_s1	EUR	ASD	F	13385_s1	sibling	13385
13409_fa	EUR	ASD	M	13409_fa	father	13409
13409_mo	EUR	ASD	F	13409_mo	mother	13409
13409_p1	EUR	ASD	F	13409_p1	proband	13409
13409_s1	EUR	ASD	F	13409_s1	sibling	13409
13414_fa	EUR	ASD	M	13414_fa	father	13414
13414_mo	EUR	ASD	F	13414_mo	mother	13414
13414_p1	EUR	ASD	M	13414_p1	proband	13414
13456_fa	EUR	ASD	M	13456_fa	father	13456
13456_mo	EUR	ASD	F	13456_mo	mother	13456
13456_p1	EUR	ASD	M	13456_p1	proband	13456
13456_s1	EUR	ASD	F	13456_s1	sibling	13456
13530_fa	EUR	ASD	M	13530_fa	father	13530
13530_mo	EUR	ASD	F	13530_mo	mother	13530
13530_p1	EUR	ASD	F	13530_p1	proband	13530
13532_fa	EUR	ASD	M	13532_fa	father	13532
13532_mo	EUR	ASD	F	13532_mo	mother	13532
13532_p1	EUR	ASD	M	13532_p1	proband	13532
13532_s1	EUR	ASD	M	13532_s1	sibling	13532
13561_fa	EUR	ASD	M	13561_fa	father	13561
13561_mo	EUR	ASD	F	13561_mo	mother	13561
13561_p1	EUR	ASD	F	13561_p1	proband	13561
13561_s1	EUR	ASD	M	13561_s1	sibling	13561
13610_fa	EUR	ASD	M	13610_fa	father	13610
13610_mo	EUR	ASD	F	13610_mo	mother	13610
13610_p1	EUR	ASD	F	13610_p1	proband	13610
13700_fa	EUR	ASD	M	13700_fa	father	13700
13700_mo	EUR	ASD	F	13700_mo	mother	13700
13700_p1	EUR	ASD	M	13700_p1	proband	13700
13799_fa	EUR	ASD	M	13799_fa	father	13799
13799_mo	EUR	ASD	F	13799_mo	mother	13799
13799_p1	EUR	ASD	F	13799_p1	proband	13799
13799_s1	EUR	ASD	M	13799_s1	sibling	13799
13900_fa	AMR	ASD	M	13900_fa	father	13900
13900_mo	AMR	ASD	F	13900_mo	mother	13900
13900_p1	AMR	ASD	M	13900_p1	proband	13900
13900_s1	AMR	ASD	M	13900_s1	sibling	13900
14019_fa	EUR	ASD	M	14019_fa	father	14019
14019_mo	EUR	ASD	F	14019_mo	mother	14019
14019_p1	EUR	ASD	F	14019_p1	proband	14019
14019_s1	EUR	ASD	M	14019_s1	sibling	14019
14027_fa	AMR	ASD	M	14027_fa	father	14027
14027_mo	EUR	ASD	F	14027_mo	mother	14027
14027_p1	EUR	ASD	F	14027_p1	proband	14027
14027_s1	EUR	ASD	M	14027_s1	sibling	14027
14105_fa	EUR	ASD	M	14105_fa	father	14105
14105_mo	EUR	ASD	F	14105_mo	mother	14105
14105_p1	EUR	ASD	F	14105_p1	proband	14105
14133_fa	SAS	ASD	M	14133_fa	father	14133
14133_mo	SAS	ASD	F	14133_mo	mother	14133
14133_p1	SAS	ASD	F	14133_p1	proband	14133
14133_s1	SAS	ASD	M	14133_s1	sibling	14133
14232_fa	EUR	ASD	M	14232_fa	father	14232
14232_mo	EUR	ASD	F	14232_mo	mother	14232
14232_p1	EUR	ASD	F	14232_p1	proband	14232
14232_s1	EUR	ASD	M	14232_s1	sibling	14232
14270_fa	AMR	ASD	M	14270_fa	father	14270
14270_p1	AMR	ASD	F	14270_p1	proband	14270
14270_s1	AMR	ASD	M	14270_s1	sibling	14270
14270_mo	EUR	ASD	F	14270_mo	mother	14270
14317_fa	EUR	ASD	M	14317_fa	father	14317
14317_mo	EUR	ASD	F	14317_mo	mother	14317
14317_p1	EUR	ASD	M	14317_p1	proband	14317
14317_s1	EUR	ASD	M	14317_s1	sibling	14317
14350_fa	EUR	ASD	M	14350_fa	father	14350
14350_mo	EUR	ASD	F	14350_mo	mother	14350
14350_p1	EUR	ASD	F	14350_p1	proband	14350
14350_s1	EUR	ASD	M	14350_s1	sibling	14350
14444_fa	EUR	ASD	M	14444_fa	father	14444
14444_mo	EUR	ASD	F	14444_mo	mother	14444
14444_p1	EUR	ASD	F	14444_p1	proband	14444
14444_s1	EUR	ASD	F	14444_s1	sibling	14444
14454_fa	EUR	ASD	M	14454_fa	father	14454
14454_mo	EUR	ASD	F	14454_mo	mother	14454
14454_p1	EUR	ASD	M	14454_p1	proband	14454
14454_s1	EUR	ASD	F	14454_s1	sibling	14454
14455_fa	EUR	ASD	M	14455_fa	father	14455
14455_mo	EUR	ASD	F	14455_mo	mother	14455
14455_p1	EUR	ASD	F	14455_p1	proband	14455
14455_s1	EUR	ASD	M	14455_s1	sibling	14455
14543_s1	AMR	ASD	F	14543_s1	sibling	14543
14543_mo	EAS	ASD	F	14543_mo	mother	14543
14543_p1	EAS	ASD	F	14543_p1	proband	14543
14543_fa	EUR	ASD	M	14543_fa	father	14543
14616_fa	EUR	ASD	M	14616_fa	father	14616
14616_mo	EUR	ASD	F	14616_mo	mother	14616
14616_p1	EUR	ASD	F	14616_p1	proband	14616
14616_s1	EUR	ASD	M	14616_s1	sibling	14616
14660_fa	AMR	ASD	M	14660_fa	father	14660
14660_mo	EUR	ASD	F	14660_mo	mother	14660
14660_p1	EUR	ASD	F	14660_p1	proband	14660
14660_s1	EUR	ASD	M	14660_s1	sibling	14660
14694_fa	EUR	ASD	M	14694_fa	father	14694
14694_mo	EUR	ASD	F	14694_mo	mother	14694
14694_p1	EUR	ASD	F	14694_p1	proband	14694
14694_s1	EUR	ASD	F	14694_s1	sibling	14694
BK143_fa	EUR	ASD	M	BK143_fa	father	BK143
BK143_mo	EUR	ASD	F	BK143_mo	mother	BK143
BK143_p1	EUR	ASD	F	BK143_p1	proband	BK143
BK486_fa	EUR	ASD	M	BK486_fa	father	BK486
BK486_mo	EUR	ASD	F	BK486_mo	mother	BK486
BK486_p1	EUR	ASD	F	BK486_p1	proband	BK486
HYZ201_fa	EUR	ASD	M	HYZ201_fa	father	HYZ201
HYZ201_mo	EUR	ASD	F	HYZ201_mo	mother	HYZ201
HYZ201_p1	EUR	ASD	F	HYZ201_p1	proband	HYZ201
HYZ204_fa	AMR	ASD	M	HYZ204_fa	father	HYZ204
HYZ204_mo	AMR	ASD	F	HYZ204_mo	mother	HYZ204
HYZ204_p1	AMR	ASD	F	HYZ204_p1	proband	HYZ204
HYZ207_fa	EUR	ASD	M	HYZ207_fa	father	HYZ207
HYZ207_mo	EUR	ASD	F	HYZ207_mo	mother	HYZ207
HYZ207_p1	EUR	ASD	F	HYZ207_p1	proband	HYZ207
HZRNM001_fa	EUR	ASD	M	HZRNM001_fa	father	HZRNM001
HZRNM001_mo	EUR	ASD	F	HZRNM001_mo	mother	HZRNM001
HZRNM001_p1	EUR	ASD	F	HZRNM001_p1	proband	HZRNM001
HZRNM015_fa	AMR	ASD	M	HZRNM015_fa	father	HZRNM015
HZRNM015_mo	AMR	ASD	F	HZRNM015_mo	mother	HZRNM015
HZRNM015_p1	AMR	ASD	F	HZRNM015_p1	proband	HZRNM015
